,sopr,price
2020-05-11,0.9998734357894790,8572.4
2020-05-12,1.0012543118644700,8821.42
2020-05-13,1.0250419212469000,9321.26
2020-05-14,1.019861988012270,9795.34
2020-05-15,1.0141026618632400,9312.1
2020-05-16,1.0081776403508300,9383.16
2020-05-17,1.0147626491326200,9676.53
2020-05-18,1.0288184819118300,9728.52
2020-05-19,1.0196157851078100,9781.89
2020-05-20,1.0129484372499,9509.41
2020-05-21,1.0038131817280500,9058.14
2020-05-22,1.002339930620420,9168.84
2020-05-23,1.014657406796470,9181.76
2020-05-24,1.0109022157822100,8713.76
2020-05-25,0.9939593703777780,8899.31
2020-05-26,1.0069562861112600,8844.42
2020-05-27,1.0117063687196400,9208.98
2020-05-28,1.0189408399203700,9580.2
2020-05-29,1.0082690793163600,9423.86
2020-05-30,1.0117440988860500,9700.33
2020-05-31,1.0140855488973800,9448.44
2020-06-01,1.033178718061110,10217.0
2020-06-02,1.0165564440466800,9522.46
2020-06-03,1.0102831669615600,9668.07
2020-06-04,1.0117629670677800,9788.05
2020-06-05,1.0082056013470400,9613.21
2020-06-06,1.0143339706027800,9671.7
2020-06-07,1.0147865328428000,9750.12
2020-06-08,1.04280334618354,9781.51
2020-06-09,1.0316289904640200,9779.41
2020-06-10,1.0133016813412600,9894.04
2020-06-11,1.0089302008342100,9268.16
2020-06-12,1.006736175413630,9464.17
2020-06-13,1.0067922468845200,9475.0
2020-06-14,1.0075610864753600,9325.18
2020-06-15,1.0213978525821200,9427.86
2020-06-16,1.0091339161309400,9526.25
2020-06-17,1.004971668677550,9457.52
2020-06-18,1.0811669600159700,9376.14
2020-06-19,1.0018098019348600,9301.91
2020-06-20,1.0081888278631100,9355.74
2020-06-21,1.0254544814787700,9286.14
2020-06-22,1.0114905256244900,9690.68
2020-06-23,1.0100022468702900,9623.56
2020-06-24,0.9995199140340730,9285.91
2020-06-25,0.9997609544784440,9243.51
2020-06-26,1.0441018791140600,9155.42
2020-06-27,1.006091469615210,9002.46
2020-06-28,1.0029620832951100,9113.24
2020-06-29,1.0081682346487300,9184.45
2020-06-30,1.0131535138156500,9136.2
2020-07-01,1.0050614639878200,9239.97
2020-07-02,1.0037587986569200,9091.53
2020-07-03,1.0039737299839400,9063.87
2020-07-04,1.0046689082977100,9138.51
2020-07-05,1.0025692959442300,9074.39
2020-07-06,1.0060719495452700,9343.31
2020-07-07,1.0106766779442300,9253.94
2020-07-08,1.0284659209692600,9435.28
2020-07-09,1.0086095635767800,9236.95
2020-07-10,1.0049328753855400,9291.05
2020-07-11,1.0067663711707100,9235.0
2020-07-12,1.0066715359689100,9303.37
2020-07-13,1.0052922027049800,9236.92
2020-07-14,1.0219087565656700,9256.94
2020-07-15,1.0087438707979500,9190.16
2020-07-16,1.0033286369069500,9130.11
2020-07-17,1.0034980952209600,9154.29
2020-07-18,1.0073846910399300,9175.85
2020-07-19,1.0111037964889700,9212.87
2020-07-20,1.0032775970678600,9161.05
2020-07-21,1.008179544658030,9394.14
2020-07-22,1.0148245641452700,9536.18
2020-07-23,1.0160421345389100,9613.24
2020-07-24,1.0148217402606200,9551.21
2020-07-25,1.0115962223743400,9711.33
2020-07-26,1.0140124026058500,9941.0
2020-07-27,1.0630005285149900,11048.91
2020-07-28,1.0500486881044700,10934.23
2020-07-29,1.028736164643600,11110.12
2020-07-30,1.025750101177490,11115.95
2020-07-31,1.022125860637360,11351.62
2020-08-01,1.0251920360815500,11810.07
2020-08-02,1.0225089820811800,11068.54
2020-08-03,1.0541888056202300,11233.13
2020-08-04,1.0155444054179000,11197.04
2020-08-05,1.0332370328300700,11756.75
2020-08-06,1.0564311480398600,11773.89
2020-08-07,1.0545368045730800,11606.52
2020-08-08,1.0356597728046300,11774.98
2020-08-09,1.0322307860583400,11688.48
2020-08-10,1.021418469743150,11899.73
2020-08-11,1.026118846682350,11388.53
2020-08-12,1.0260922641566500,11566.45
2020-08-13,1.021350729201010,11795.95
2020-08-14,1.0187815420222600,11779.0
2020-08-15,1.0188395773871700,11859.24
2020-08-16,1.0067065609073200,11918.84
2020-08-17,1.0195825600792100,12304.26
2020-08-18,1.0096409647247800,11950.0
2020-08-19,1.0050307095050200,11758.87
2020-08-20,1.0080238426161800,11864.26
2020-08-21,1.023356136416620,11529.22
2020-08-22,1.0047632445093500,11672.93
2020-08-23,1.0077148391885800,11650.01
2020-08-24,1.0094680938230800,11753.85
2020-08-25,1.0158421078379000,11324.92
2020-08-26,1.0073549498811500,11463.27
2020-08-27,1.00663155101089,11330.06
2020-08-28,1.00744951637494,11535.0
2020-08-29,1.0021398144190300,11474.31
2020-08-30,1.0103724032918700,11716.01
2020-08-31,1.008882020233480,11655.0
2020-09-01,1.0125800405725600,11924.22
2020-09-02,1.0097896992650800,11395.48
2020-09-03,1.0017167610546900,10172.52
2020-09-04,0.9998941094362370,10483.54
2020-09-05,0.998795832775366,10168.36
2020-09-06,1.0018005395817200,10257.86
2020-09-07,1.0012382989526400,10375.0
2020-09-08,1.0005168055550100,10125.69